cow,date,hour,IN_ALLEYS,REST,EAT,ACTIVITY_LEVEL,oestrus,calving,lameness,mastitis,LPS,acidosis,other_disease,accidents,disturbance,mixing,management_changes,OK
6601,2018-10-28,21,13462200,345409900,1127300,-76816859,0,0,0,0,0,NA,0,0,0,0,0,1
6701,2019-03-20,4,20803000,339196400,0,-74686692,0,0,0,0,1,NA,0,0,1,0,0,0
6601,2018-10-28,22,2201800,357183800,613800,-81542190,0,0,0,0,0,NA,0,0,0,0,0,1
6701,2019-03-20,5,53341900,306657500,0,-61996521,0,0,0,0,1,NA,0,0,1,0,0,0
6601,2018-10-28,23,0,359999400,0,-82799862,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-29,0,30434400,329565000,0,-70930446,0,0,0,0,0,NA,0,0,0,0,0,1
6701,2019-03-20,6,117092700,204433300,38473400,-12125999,0,0,0,0,1,NA,0,0,1,0,0,0
6601,2018-10-29,1,38048400,321951000,0,-67960986,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-29,2,105382900,246328000,8288500,-36313006,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-29,3,11978300,348021100,0,-78128325,0,0,0,0,0,NA,0,0,0,0,0,1
6701,2019-03-20,7,250768800,108152400,1078200,15700800,0,0,0,0,1,NA,0,0,1,0,0,0
6601,2018-10-29,4,7215900,352783500,0,-79985661,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-25,11,160358500,135538600,4102400,-3793510,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2018-12-03,0,122895300,0,237104100,119246970,0,0,0,0,0,NA,0,0,1,1,0,0
6601,2018-10-25,12,158696500,13850100,187452800,100936093,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2018-12-03,1,178548500,0,181450900,104777138,0,0,0,0,0,NA,0,0,1,1,0,0
6601,2018-10-25,13,144293000,56706600,158486600,76608734,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2018-12-03,2,348511100,0,11488300,60586862,0,0,0,0,0,NA,0,0,1,1,0,0
6601,2018-10-25,14,20957100,272841000,66201300,-31595748,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2018-12-03,3,329438300,0,30561100,65545790,0,0,0,0,0,NA,0,0,1,1,0,0
6601,2018-10-25,15,109427500,29849700,220722200,103346293,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2018-12-03,4,309576100,0,50423300,70709962,0,0,0,0,0,NA,0,0,1,1,0,0
6601,2018-10-25,16,300263800,41374400,18361200,46237800,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2018-12-03,5,179204900,547800,180246700,104250404,0,0,0,0,0,NA,0,0,1,1,0,0
6601,2018-10-25,17,145512700,106278200,108208500,44285616,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2018-12-03,6,181498100,0,178501300,104010242,0,0,0,0,0,NA,0,0,1,1,0,0
6601,2018-10-25,18,26074100,226977200,106948100,-3114698,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2018-12-03,7,284120300,0,75879100,77328470,0,0,0,0,0,NA,0,0,1,1,0,0
6601,2018-10-25,19,67723600,148407100,143868700,37126997,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2018-12-03,8,256449400,0,103550000,84522904,0,0,0,0,0,NA,0,0,1,1,0,0
6601,2018-10-25,20,16211300,342146900,1641200,-75410675,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2018-12-03,9,311475500,0,48523900,70216118,0,0,0,0,0,NA,0,0,1,1,0,0
6601,2018-10-25,21,7223800,352775600,0,-79982580,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2018-12-03,10,104915100,328600,254755700,123708232,0,0,0,0,0,NA,0,0,1,1,0,0
6601,2018-10-25,22,13319100,346680300,0,-77605413,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2018-12-03,11,284410600,0,75588800,77252992,0,0,0,0,0,NA,0,0,1,1,0,0
6601,2018-10-25,23,72995100,120612900,166391400,53822637,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2018-12-03,12,179251500,273300,180474600,104416713,0,0,0,0,0,NA,0,0,1,1,0,0
6601,2018-10-26,0,90309400,97143200,172290400,64468536,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2018-12-03,13,134078800,0,225920600,116339260,0,0,0,0,0,NA,0,0,1,1,0,0
6601,2018-10-26,1,1127700,358871700,0,-82360059,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2018-12-03,14,284145000,0,75854400,77322048,0,0,0,0,0,NA,0,0,1,1,0,0
6601,2018-10-26,2,36723200,323276200,0,-68477814,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2018-12-03,15,197787000,0,162212400,99775128,0,0,0,0,0,NA,0,0,1,1,0,0
6601,2018-10-26,3,2559800,357439600,0,-81801540,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2018-12-03,16,132954800,75587800,151456800,67499430,0,0,0,0,0,NA,0,0,1,1,0,0
6601,2018-10-28,2,37036412,296082094,26881495,-50882828,0,0,0,0,0,NA,0,0,1,0,0,1
6613,2018-12-03,17,123865400,53073900,182895800,84427703,0,0,0,0,0,NA,0,0,1,1,0,0
6601,2018-10-28,3,44447900,311716000,3835500,-62972106,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2018-12-03,18,173519100,21273600,164660300,92027454,0,0,0,0,0,NA,0,0,1,1,0,0
6601,2018-10-28,4,54627800,305269200,102400,-61428460,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2018-12-03,19,187846900,61057800,111094700,62671984,0,0,0,0,0,NA,0,0,1,1,0,0
6601,2018-10-28,5,94968700,194483600,70547100,093546,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2018-12-03,23,238839100,95539900,25620400,27000647,0,0,0,0,0,NA,0,0,1,1,0,0
6601,2018-10-28,6,131791300,93921400,126045600,52423838,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2018-12-03,20,146457400,146031200,67510800,18200544,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2018-12-03,21,174749500,113558000,71691900,31952178,0,0,0,0,0,NA,0,0,1,1,0,0
6601,2018-10-28,8,164713800,99494900,95790700,43702475,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2018-12-03,22,125941700,220435700,13622000,-24828299,0,0,0,0,0,NA,0,0,1,1,0,0
6601,2018-10-28,9,132867900,118330400,108801100,39739334,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-28,10,1026.561,2466.695,106.738,-358.26013,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-28,11,434.667,356.416,2808.911,1167.31366,0,0,0,0,0,NA,0,0,0,0,0,1
6701,2019-03-20,0,432.315,3167.679,0,-659.39577,0,0,0,0,1,NA,0,0,1,0,0,0
6601,2018-10-28,13,765.648,597.83,2236.516,924.3395,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-28,14,161.839,3438.155,0,-764.88141,0,0,0,0,0,NA,0,0,0,0,0,1
6701,2019-03-20,0,432.315,3167.679,0,-659.39577,0,0,0,0,1,NA,0,0,1,0,0,0
6601,2018-10-28,16,2869.032,730.962,0,290.92386,0,0,0,0,0,NA,0,0,0,0,0,1
6701,2019-03-20,2,1236.026,2320.311,43.657,-317.57143,0,0,0,0,1,NA,0,0,1,0,0,0
6601,2018-10-28,18,941.068,727.571,1708.483,700.79241,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-28,19,8.187,3591.807,0,-824.80569,0,0,0,0,0,NA,0,0,0,0,0,1
6701,2019-03-20,1,625.942,2969.203,0,-582.76597,0,0,0,0,1,NA,0,0,1,0,0,0
6601,2018-10-28,20,879.033,409.471,2150.335,949.60765,0,0,0,0,0,NA,0,0,0,0,0,1
6701,2019-03-20,3,1665.711,1928.89,5.393,-174.86588,0,0,0,0,1,NA,0,0,1,0,0,0
6701,2019-03-20,8,2802.421,0,797.573,783.36802,0,0,0,0,1,NA,0,0,1,0,0,0
6601,2018-10-29,5,912.595,1879.938,807.461,52.76308,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-29,6,1407.886,1496.511,695.597,173.21497,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-29,7,2085.833,991.347,522.814,325.30535,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-29,8,938.602,1464.398,957.605,215.55888,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-29,9,1858.815,759.558,964.237,527.6916,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-29,10,505.347,2255.71,838.937,-85.60424,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-29,11,705.344,451.031,2443.619,1035.43789,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-29,12,1673.52,1041.3,783.385,357.2859,0,0,0,0,0,NA,0,0,0,0,0,1
6701,2019-03-20,9,75.929,0,3524.065,1492.25594,0,0,0,0,1,NA,0,0,1,0,0,0
6701,2019-03-20,10,491.375,0,3107.537,1383.78554,0,0,0,0,1,NA,0,0,1,0,0,0
6701,2019-03-20,11,527.097,0,3072.897,1374.95226,0,0,0,0,1,NA,0,0,1,0,0,0
6601,2018-10-29,19,2399.95,945.055,254.989,273.72473,0,0,0,0,0,NA,0,0,0,0,0,1
6701,2019-03-20,12,177.237,0,3422.757,1465.91586,0,0,0,0,1,NA,0,0,1,0,0,0
6701,2019-03-20,13,3247.696,0,352.298,667.59652,0,0,0,0,1,NA,0,0,1,0,0,0
6701,2019-03-20,14,682.129,2901.704,16.161,-551.46366,0,0,0,0,1,NA,0,0,1,0,0,0
6701,2019-03-20,15,971.248,2628.746,0,-449.2119,0,0,0,0,1,NA,0,0,1,0,0,0
6701,2019-03-20,16,2187.367,1412.627,0,25.07451,0,0,0,0,1,NA,0,0,1,0,0,0
6701,2019-03-20,17,1530.747,0,2069.247,1114.00326,0,0,0,0,1,NA,0,0,1,0,0,0
6601,2018-10-29,18,555.544,3044.45,0,-611.33646,0,0,0,0,0,NA,0,0,0,0,0,1
6701,2019-03-20,18,695.946,0,2874.401,1318.59978,0,0,0,0,1,NA,0,0,1,0,0,0
6601,2018-10-29,20,2351.858,978.715,269.421,264.34965,0,0,0,0,0,NA,0,0,0,0,0,1
6701,2019-03-20,19,346.53,0,3253.464,1421.89968,0,0,0,0,1,NA,0,0,1,0,0,0
