cow,date,hour,IN_ALLEYS,REST,EAT,ACTIVITY_LEVEL,oestrus,calving,lameness,mastitis,LPS,acidosis,other_disease,accidents,disturbance,mixing,management_changes,OK
6601,2018-10-25,11,1603.585,1355.386,41.024,-37.9351,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-25,12,1586.965,138.501,1874.528,1009.36093,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-25,13,1442.93,567.066,1584.866,766.08734,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-25,14,209.571,2728.41,662.013,-315.95748,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-25,15,1094.275,298.497,2207.222,1033.46293,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-25,16,3002.638,413.744,183.612,462.378,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-25,17,1455.127,1062.782,1082.085,442.85616,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-25,18,260.741,2269.772,1069.481,-31.14698,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-25,19,677.236,1484.071,1438.687,371.26997,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-25,20,162.113,3421.469,16.412,-754.10675,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-25,21,72.238,3527.756,0,-799.8258,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-25,22,133.191,3466.803,0,-776.05413,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-25,23,729.951,1206.129,1663.914,538.22637,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-26,0,903.094,971.432,1722.904,644.68536,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-26,1,11.277,3588.717,0,-823.60059,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-26,2,367.232,3232.762,0,-684.77814,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-26,3,25.598,3574.396,0,-818.0154,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2018-12-03,0,1228.953,0,2371.041,1192.4697,0,0,0,0,0,NA,0,0,0,1,0,0
6613,2018-12-03,1,1785.485,0,1814.509,1047.77138,0,0,0,0,0,NA,0,0,0,1,0,0
6613,2018-12-03,2,3485.111,0,114.883,605.86862,0,0,0,0,0,NA,0,0,0,1,0,0
6613,2018-12-03,3,3294.383,0,305.611,655.4579,0,0,0,0,0,NA,0,0,0,1,0,0
6613,2018-12-03,4,3095.761,0,504.233,707.09962,0,0,0,0,0,NA,0,0,0,1,0,0
6613,2018-12-03,5,1792.049,5.478,1802.467,1042.50404,0,0,0,0,0,NA,0,0,0,1,0,0
6613,2018-12-03,6,1814.981,0,1785.013,1040.10242,0,0,0,0,0,NA,0,0,0,1,0,0
6613,2018-12-03,7,2841.203,0,758.791,773.2847,0,0,0,0,0,NA,0,0,0,1,0,0
6613,2018-12-03,8,2564.494,0,1035.5,845.22904,0,0,0,0,0,NA,0,0,0,1,0,0
